CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,Grade,Biology,Chemistry,EarthandSpaceScience,EnvironmentalScience,Physics,OtherScience
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,9,59,7,0,2,214,4
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,10,15,215,0,10,17,0
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,11,13,127,0,53,70,23
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,12,36,46,0,10,15,29
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,Total,123,395,0,75,316,56
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,Enrolled in AP/IB Course,37,11,0,0,61,0
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,20,0,0,0,0
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,9,2,1,0,39,228,1
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,10,8,200,0,36,4,0
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,11,16,141,0,27,47,24
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,12,6,46,0,49,73,33
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,Total,32,388,0,151,352,58
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,Enrolled in AP/IB Course,13,6,0,0,86,0
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,44,0,0,0,0
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,9,13,0,0,0,378,0
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,10,319,21,0,0,6,0
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,11,23,321,0,0,10,9
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,12,4,36,0,0,10,107
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,Total,359,378,0,0,404,116
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,Enrolled in AP/IB Course,18,28,0,0,8,0
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,Enrolled in Dual Enrollment Course,18,28,0,0,0,0
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,9,3,13,0,0,287,38
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,10,9,281,0,0,25,24
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,11,280,57,0,0,9,34
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,12,56,8,0,22,16,160
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,Total,348,359,0,22,337,256
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,Enrolled in AP/IB Course,29,40,0,22,32,0
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,9,10,0,0,0,159,27
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,10,143,11,0,11,14,18
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,11,50,36,0,68,21,62
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,12,16,12,0,32,10,63
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,Total,219,59,0,111,204,170
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,Enrolled in AP/IB Course,8,0,0,0,0,0
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,9,292,166,13,0,111,132
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,10,156,267,14,10,149,97
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,11,138,180,9,11,279,85
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,12,61,30,0,22,45,15
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,Total,647,643,36,43,584,329
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,Enrolled in AP/IB Course,47,107,0,43,61,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,BERGEN COUNTY ACADEMIES,Enrolled in Dual Enrollment Course,202,384,0,22,469,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,9,0,0,0,0,159,13
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,10,0,175,0,0,83,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,11,164,28,0,0,22,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,12,28,15,0,0,11,40
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Total,192,218,0,0,275,53
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Enrolled in AP/IB Course,28,27,0,0,106,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Enrolled in Dual Enrollment Course,0,191,0,0,159,26
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,9,0,0,0,0,31,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,10,0,29,0,0,0,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,11,27,0,0,0,0,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,12,N,N,N,N,N,N
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,Total,27,29,0,0,31,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,Enrolled in AP/IB Course,0,0,0,0,0,0
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,29,0,0,0,0
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,9,6,84,1,0,218,25
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,10,81,218,0,2,18,7
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,11,207,7,0,5,12,14
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,12,21,7,1,21,17,58
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,Total,315,316,2,28,265,104
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,Enrolled in AP/IB Course,41,17,0,23,43,0
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,58,0,0,0,49
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,9,24,0,60,0,0,0
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,10,47,31,3,0,0,0
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,11,33,57,3,0,0,0
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,12,6,4,3,0,1,0
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,Total,110,92,69,0,1,0
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,Enrolled in AP/IB Course,5,0,0,0,0,0
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,Enrolled in Dual Enrollment Course,34,0,0,0,0,0
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,9,132,1,0,1,0,0
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,10,9,82,33,1,2,6
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,11,7,12,13,10,67,47
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,12,23,11,10,16,37,71
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,Total,171,106,56,28,106,124
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,Enrolled in AP/IB Course,20,9,0,0,23,0
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,Enrolled in Dual Enrollment Course,20,9,0,0,0,0
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,9,240,0,0,0,30,60
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,10,28,245,0,0,2,42
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,11,5,23,0,0,219,50
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,12,33,7,0,0,17,82
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,Total,306,275,0,0,268,234
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,Enrolled in AP/IB Course,28,0,0,0,72,0
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,66
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,9,130,0,0,0,0,0
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,10,2,124,0,10,0,0
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,11,27,21,0,48,76,21
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,12,60,13,0,20,22,56
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,Total,219,158,0,78,98,77
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,Enrolled in AP/IB Course,13,19,0,0,23,0
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,9,206,1,0,0,0,0
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,10,12,188,0,2,0,2
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,11,6,15,0,36,138,7
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,12,35,4,0,51,30,74
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,Total,259,208,0,89,168,83
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,Enrolled in AP/IB Course,44,7,0,0,26,0
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,9,33,0,0,164,0,0
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,10,139,25,0,18,0,0
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,11,23,112,0,22,2,2
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,12,11,23,0,8,57,53
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,Total,206,160,0,212,59,55
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,Enrolled in AP/IB Course,22,19,0,0,0,0
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,9,0,0,0,0,73,0
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,10,0,90,0,0,0,0
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,11,0,2,0,0,74,8
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,12,0,0,0,0,3,32
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,Total,0,92,0,0,150,40
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,Enrolled in AP/IB Course,0,0,0,0,10,0
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,9,302,0,0,1,0,0
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,10,13,272,0,1,0,0
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,11,20,38,0,109,128,7
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,12,26,23,0,117,34,48
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,Total,361,333,0,228,162,55
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,Enrolled in AP/IB Course,163,46,0,0,58,0
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,9,106,0,0,160,112,0
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,10,161,207,1,5,1,0
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,11,83,111,17,6,162,34
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,12,40,31,11,14,74,64
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,Total,390,349,29,185,349,98
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,Enrolled in AP/IB Course,17,15,0,15,45,0
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,29,0,0,76
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,9,53,1,0,179,0,0
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,10,166,62,0,8,0,5
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,11,32,155,0,10,46,19
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,12,24,16,0,3,28,128
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,Total,275,234,0,200,74,152
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,Enrolled in AP/IB Course,37,20,0,0,17,0
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,9,77,0,0,241,0,0
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,10,188,47,12,8,0,0
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,11,12,143,38,10,10,9
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,12,37,38,18,4,30,124
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,Total,314,228,68,263,40,133
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,Enrolled in AP/IB Course,13,0,0,0,0,0
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,83
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,9,0,0,0,10,0,0
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,10,4,0,0,2,0,0
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,11,1,1,0,0,0,0
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,12,2,4,0,5,0,0
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,Total,7,5,0,17,0,0
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,Enrolled in AP/IB Course,0,0,0,0,0,0
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,9,205,7,0,0,0,0
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,10,7,159,0,0,4,1
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,11,16,8,0,36,134,15
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,12,16,8,0,108,40,39
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,Total,244,182,0,144,178,55
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,Enrolled in AP/IB Course,36,15,0,28,38,0
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,157,0,0,0,26
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,9,201,40,0,214,33,0
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,10,37,466,0,4,9,0
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,11,186,52,0,28,177,14
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,12,37,9,0,39,26,61
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,Total,461,567,0,285,245,75
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,Enrolled in AP/IB Course,22,22,0,0,45,0
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,75
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,9,105,0,0,34,0,0
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,10,28,95,1,23,0,3
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,11,26,22,20,5,66,31
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,12,4,5,4,5,18,17
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,Total,163,122,25,67,84,51
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,Enrolled in AP/IB Course,12,6,0,0,8,0
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,Enrolled in Dual Enrollment Course,0,0,0,0,0,0
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,9,119,22,0,0,30,51
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,10,71,92,0,18,1,18
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,11,34,43,0,29,63,46
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,12,13,25,0,33,51,55
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,Total,237,182,0,80,145,170
